Country,Region,Population,GDP ($ per capita),Literacy (%),Climate
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,700.0,36.0,1.0
Albania ,EASTERN EUROPE                     ,3581655,4500.0,86.5,3.0
Algeria ,NORTHERN AFRICA                    ,32930091,6000.0,70.0,1.0
American Samoa ,OCEANIA                            ,57794,8000.0,97.0,2.0
Andorra ,WESTERN EUROPE                     ,71201,19000.0,100.0,3.0
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1900.0,42.0,
Anguilla ,LATIN AMER. & CARIB    ,13477,8600.0,95.0,2.0
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,11000.0,89.0,2.0
Argentina ,LATIN AMER. & CARIB    ,39921833,11200.0,97.1,3.0
Armenia ,C.W. OF IND. STATES ,2976372,3500.0,98.6,4.0
Aruba ,LATIN AMER. & CARIB    ,71891,28000.0,97.0,2.0
Australia ,OCEANIA                            ,20264082,29000.0,100.0,1.0
Austria ,WESTERN EUROPE                     ,8192880,30000.0,98.0,3.0
Azerbaijan ,C.W. OF IND. STATES ,7961619,3400.0,97.0,1.0
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,16700.0,95.6,2.0
Bahrain ,NEAR EAST                          ,698585,16900.0,89.1,1.0
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,1900.0,43.1,2.0
Barbados ,LATIN AMER. & CARIB    ,279912,15700.0,97.4,2.0
Belarus ,C.W. OF IND. STATES ,10293011,6100.0,99.6,4.0
Belgium ,WESTERN EUROPE                     ,10379067,29100.0,98.0,3.0
Belize ,LATIN AMER. & CARIB    ,287730,4900.0,94.1,2.0
Benin ,SUB-SAHARAN AFRICA                 ,7862944,1100.0,40.9,2.0
Bermuda ,NORTHERN AMERICA                   ,65773,36000.0,98.0,2.0
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,1300.0,42.2,2.0
Bolivia ,LATIN AMER. & CARIB    ,8989046,2400.0,87.2,1.5
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,6100.0,,4.0
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,9000.0,79.8,1.0
Brazil ,LATIN AMER. & CARIB    ,188078227,7600.0,86.4,2.0
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,16000.0,97.8,2.0
Brunei ,ASIA (EX. NEAR EAST)         ,379444,18600.0,93.9,2.0
Bulgaria ,EASTERN EUROPE                     ,7385367,7600.0,98.6,3.0
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,1100.0,26.6,2.0
Burma ,ASIA (EX. NEAR EAST)         ,47382633,1800.0,85.3,2.0
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,600.0,51.6,2.0
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,1900.0,69.4,2.0
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,1800.0,79.0,1.5
Canada ,NORTHERN AMERICA                   ,33098932,29800.0,97.0,
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,1400.0,76.6,3.0
Cayman Islands ,LATIN AMER. & CARIB    ,45436,35000.0,98.0,2.0
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,1100.0,51.0,2.0
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1200.0,47.5,2.0
Chile ,LATIN AMER. & CARIB    ,16134219,9900.0,96.2,3.0
China ,ASIA (EX. NEAR EAST)         ,1313973713,5000.0,90.9,1.5
Colombia ,LATIN AMER. & CARIB    ,43593035,6300.0,92.5,2.0
